"GG Langtext","DST Langtext","Förderprogramm","Postleitzahl","Ausbezahlte Fördersumme","Anzahl der Förderfälle","jahr"
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Offene Kinder- und Jugendarbeit (zentral)","1210",388000,1,2024
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Offene Kinder- und Jugendarbeit (zentral)","1220",10000,1,2024
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Offene Kinder- und Jugendarbeit (zentral)","1230",2398800,1,2024
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Offene Kinder- und Jugendarbeit (zentral)","1020",401000,1,2024
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Offene Kinder- und Jugendarbeit (zentral)","1120",472000,1,2024
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Offene Kinder- und Jugendarbeit (zentral)","1150",757000,1,2024
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderung von Einrichtungen der Erwachsenenbildung und außerschulischen Bildungsangeboten","1210",3e+05,1,2024
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Offene Kinder- und Jugendarbeit (zentral)","1210",20924000,1,2024
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Offene Kinder- und Jugendarbeit (zentral)","1210",428700,1,2024
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Wienweite spezielle Angebote (zentral)","1210",32500,1,2024
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Wienweite spezielle Angebote (zentral)","1210",47600,1,2024
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Initiative Erwachsenenbildung","1090",1110456,1,2024
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Initiative Erwachsenenbildung","1090",1756260,1,2024
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderung von Maßnahmen, Projekten und gemeinnützigen Organisationen im LGBTIQ-Bereich","1040",399404,1,2024
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderung von Wiener Bildungsgrätzln","1020",2700,1,2024
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderung von Wiener Bildungsgrätzln","1120",2890.11,1,2024
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderung von Wiener Bildungsgrätzln","1140",1356,1,2024
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderung von Wiener Bildungsgrätzln","1170",2900,1,2024
