GG Langtext;DST Langtext;Förderprogramm;Postleitzahl;Ausbezahlte Fördersumme;Anzahl der Förderfälle
Bildung, Jugend, Integration und Transparenz;Bildung und Jugend;Förderung von Maßnahmen, Projekten und gemeinnützigen Organisationen im LGBTIQ-Bereich;1050;35000;1
Bildung, Jugend, Integration und Transparenz;Bildung und Jugend;Offene Kinder- und Jugendarbeit (zentral);1150;62000;1
Bildung, Jugend, Integration und Transparenz;Bildung und Jugend;Offene Kinder- und Jugendarbeit (zentral);1150;1261000;1
Bildung, Jugend, Integration und Transparenz;Bildung und Jugend;Offene Kinder- und Jugendarbeit (zentral);1210;359000;1
Bildung, Jugend, Integration und Transparenz;Bildung und Jugend;Offene Kinder- und Jugendarbeit (zentral);1020;374000;1
Bildung, Jugend, Integration und Transparenz;Bildung und Jugend;Offene Kinder- und Jugendarbeit (zentral);1120;437000;1
Bildung, Jugend, Integration und Transparenz;Bildung und Jugend;Wienweite spezielle Angebote (zentral);1210;34000;1
Bildung, Jugend, Integration und Transparenz;Bildung und Jugend;Wienweite spezielle Angebote (zentral);1210;30000;1
Bildung, Jugend, Integration und Transparenz;Bildung und Jugend;Förderung von Einrichtungen der Erwachsenenbildung und außerschulischen Bildungsangeboten;1170;30000;1
Bildung, Jugend, Integration und Transparenz;Bildung und Jugend;Förderung von Maßnahmen, Projekten und gemeinnützigen Organisationen im LGBTIQ-Bereich;1040;2900;1
Bildung, Jugend, Integration und Transparenz;Bildung und Jugend;Förderung von Maßnahmen, Projekten und gemeinnützigen Organisationen im LGBTIQ-Bereich;1060;3510;1
Bildung, Jugend, Integration und Transparenz;Bildung und Jugend;Förderung von Maßnahmen, Projekten und gemeinnützigen Organisationen im LGBTIQ-Bereich;1060;3560;1
Bildung, Jugend, Integration und Transparenz;Bildung und Jugend;Förderung von Maßnahmen, Projekten und gemeinnützigen Organisationen im LGBTIQ-Bereich;1090;1000;1
Bildung, Jugend, Integration und Transparenz;Bildung und Jugend;Förderung von Maßnahmen, Projekten und gemeinnützigen Organisationen im LGBTIQ-Bereich;1020;2480;1
Bildung, Jugend, Integration und Transparenz;Bildung und Jugend;Förderung von Maßnahmen, Projekten und gemeinnützigen Organisationen im LGBTIQ-Bereich;1110;2670;1
Bildung, Jugend, Integration und Transparenz;Bildung und Jugend;Förderung von Maßnahmen, Projekten und gemeinnützigen Organisationen im LGBTIQ-Bereich;1060;2300;1
Bildung, Jugend, Integration und Transparenz;Bildung und Jugend;Förderung von Maßnahmen, Projekten und gemeinnützigen Organisationen im LGBTIQ-Bereich;1040;2580;1
Bildung, Jugend, Integration und Transparenz;Bildung und Jugend;Förderung von Maßnahmen, Projekten und gemeinnützigen Organisationen im LGBTIQ-Bereich;1060;19530;1
Bildung, Jugend, Integration und Transparenz;Bildung und Jugend;Förderung von Einrichtungen der Erwachsenenbildung und außerschulischen Bildungsangeboten;1200;360000;1
Bildung, Jugend, Integration und Transparenz;Bildung und Jugend;Förderung von Maßnahmen, Projekten und gemeinnützigen Organisationen im LGBTIQ-Bereich;1030;10860;1
Bildung, Jugend, Integration und Transparenz;Bildung und Jugend;Förderung von Maßnahmen, Projekten und gemeinnützigen Organisationen im LGBTIQ-Bereich;1140;9950;1
Bildung, Jugend, Integration und Transparenz;Bildung und Jugend;Förderung von Maßnahmen, Projekten und gemeinnützigen Organisationen im LGBTIQ-Bereich;1040;3630;1
Bildung, Jugend, Integration und Transparenz;Bildung und Jugend;Förderung von Maßnahmen, Projekten und gemeinnützigen Organisationen im LGBTIQ-Bereich;1220;2050;1
Bildung, Jugend, Integration und Transparenz;Bildung und Jugend;Förderung von Maßnahmen, Projekten und gemeinnützigen Organisationen im LGBTIQ-Bereich;1030;10610;1
Bildung, Jugend, Integration und Transparenz;Bildung und Jugend;Förderung von Maßnahmen, Projekten und gemeinnützigen Organisationen im LGBTIQ-Bereich;1100;3325;1
Bildung, Jugend, Integration und Transparenz;Bildung und Jugend;Förderung von Maßnahmen, Projekten und gemeinnützigen Organisationen im LGBTIQ-Bereich;1200;2275;1
Bildung, Jugend, Integration und Transparenz;Bildung und Jugend;Förderung von Maßnahmen, Projekten und gemeinnützigen Organisationen im LGBTIQ-Bereich;1150;1500;1
Bildung, Jugend, Integration und Transparenz;Bildung und Jugend;Förderung von Maßnahmen, Projekten und gemeinnützigen Organisationen im LGBTIQ-Bereich;1030;1000;1
Bildung, Jugend, Integration und Transparenz;Bildung und Jugend;Förderung von Maßnahmen, Projekten und gemeinnützigen Organisationen im LGBTIQ-Bereich;1080;1800;1
Bildung, Jugend, Integration und Transparenz;Bildung und Jugend;Förderung von Maßnahmen, Projekten und gemeinnützigen Organisationen im LGBTIQ-Bereich;1110;3000;1
Bildung, Jugend, Integration und Transparenz;Bildung und Jugend;Förderung von Einrichtungen der Erwachsenenbildung und außerschulischen Bildungsangeboten;1130;95880;1
Bildung, Jugend, Integration und Transparenz;Bildung und Jugend;Förderung von Wiener Bildungsgrätzln;1210;3000;1
Bildung, Jugend, Integration und Transparenz;Bildung und Jugend;Förderung von Wiener Bildungsgrätzln;1220;5000;1
Bildung, Jugend, Integration und Transparenz;Bildung und Jugend;Förderung von Wiener Bildungsgrätzln;1210;5000;1
Bildung, Jugend, Integration und Transparenz;Bildung und Jugend;Förderung von Wiener Bildungsgrätzln;1220;5000;1
Bildung, Jugend, Integration und Transparenz;Bildung und Jugend;Förderung von Wiener Bildungsgrätzln;1220;3000;1
Bildung, Jugend, Integration und Transparenz;Bildung und Jugend;Förderung von Wiener Bildungsgrätzln;1120;2900;1
Bildung, Jugend, Integration und Transparenz;Bildung und Jugend;Förderung von Wiener Bildungsgrätzln;1150;3000;1
Bildung, Jugend, Integration und Transparenz;Bildung und Jugend;Förderung von Wiener Bildungsgrätzln;1020;1050;1
Bildung, Jugend, Integration und Transparenz;Bildung und Jugend;Förderung von Wiener Bildungsgrätzln;1150;5000;1
Bildung, Jugend, Integration und Transparenz;Bildung und Jugend;Förderung von Wiener Bildungsgrätzln;1030;3000;1
Bildung, Jugend, Integration und Transparenz;Bildung und Jugend;Förderung von Wiener Bildungsgrätzln;1130;3000;1
Bildung, Jugend, Integration und Transparenz;Bildung und Jugend;Förderung von Wiener Bildungsgrätzln;1160;5000;1
Bildung, Jugend, Integration und Transparenz;Bildung und Jugend;Förderung von Wiener Bildungsgrätzln;1200;3000;1
Bildung, Jugend, Integration und Transparenz;Bildung und Jugend;Förderung von Wiener Bildungsgrätzln;1010;3000;1
Bildung, Jugend, Integration und Transparenz;Bildung und Jugend;Förderung von Wiener Bildungsgrätzln;1020;5000;1
Bildung, Jugend, Integration und Transparenz;Bildung und Jugend;Förderung von Wiener Bildungsgrätzln;1130;1872;1
Bildung, Jugend, Integration und Transparenz;Bildung und Jugend;Förderung von Wiener Bildungsgrätzln;1110;2000;1
Bildung, Jugend, Integration und Transparenz;Bildung und Jugend;Förderung von Wiener Bildungsgrätzln;1210;1336,06;1
Bildung, Jugend, Integration und Transparenz;Bildung und Jugend;Förderung von Wiener Bildungsgrätzln;1020;5000;1
Bildung, Jugend, Integration und Transparenz;Bildung und Jugend;Förderung von Wiener Bildungsgrätzln;1030;5000;1
Bildung, Jugend, Integration und Transparenz;Bildung und Jugend;Förderung von Wiener Bildungsgrätzln;1170;5000;1
Bildung, Jugend, Integration und Transparenz;Bildung und Jugend;Förderung von Wiener Bildungsgrätzln;1150;3000;1
Bildung, Jugend, Integration und Transparenz;Bildung und Jugend;Förderung von Wiener Bildungsgrätzln;1080;3000;1
Bildung, Jugend, Integration und Transparenz;Bildung und Jugend;Förderung von Wiener Bildungsgrätzln;1200;3000;1
Bildung, Jugend, Integration und Transparenz;Bildung und Jugend;Förderung von Wiener Bildungsgrätzln;1090;5000;1
Bildung, Jugend, Integration und Transparenz;Bildung und Jugend;Förderung von Wiener Bildungsgrätzln;1150;3000;1
Bildung, Jugend, Integration und Transparenz;Bildung und Jugend;Förderung von Wiener Bildungsgrätzln;1020;2000;1
Bildung, Jugend, Integration und Transparenz;Bildung und Jugend;Förderung von Wiener Bildungsgrätzln;1200;5000;1
Bildung, Jugend, Integration und Transparenz;Bildung und Jugend;Förderung von Wiener Bildungsgrätzln;1170;5000;1
Bildung, Jugend, Integration und Transparenz;Bildung und Jugend;Förderung von Wiener Bildungsgrätzln;1140;3000;1
Bildung, Jugend, Integration und Transparenz;Bildung und Jugend;Förderung von Einrichtungen der Erwachsenenbildung und außerschulischen Bildungsangeboten;1010;54000;1
Bildung, Jugend, Integration und Transparenz;Bildung und Jugend;Förderung von Einrichtungen der Erwachsenenbildung und außerschulischen Bildungsangeboten;1020;5000;1
Bildung, Jugend, Integration und Transparenz;Bildung und Jugend;Förderung von Einrichtungen der Erwachsenenbildung und außerschulischen Bildungsangeboten;1120;9000;1
Bildung, Jugend, Integration und Transparenz;Bildung und Jugend;Initiative Erwachsenenbildung;1150;414000;1
Bildung, Jugend, Integration und Transparenz;Bildung und Jugend;Initiative Erwachsenenbildung;1030;276000;1
Bildung, Jugend, Integration und Transparenz;Bildung und Jugend;Förderung von Einrichtungen der Erwachsenenbildung und außerschulischen Bildungsangeboten;1090;5000000;1
Bildung, Jugend, Integration und Transparenz;Bildung und Jugend;Initiative Erwachsenenbildung;1110;276000;1
Bildung, Jugend, Integration und Transparenz;Bildung und Jugend;Initiative Erwachsenenbildung;1150;276000;1
Bildung, Jugend, Integration und Transparenz;Bildung und Jugend;Initiative Erwachsenenbildung;1170;186924;1
Bildung, Jugend, Integration und Transparenz;Bildung und Jugend;Initiative Erwachsenenbildung;1090;3383080;1
Bildung, Jugend, Integration und Transparenz;Bildung und Jugend;Förderung von Maßnahmen, Projekten und gemeinnützigen Organisationen im LGBTIQ-Bereich;1060;82300;1
Bildung, Jugend, Integration und Transparenz;Bildung und Jugend;Wienweite spezielle Angebote (zentral);1030;266000;1
Bildung, Jugend, Integration und Transparenz;Bildung und Jugend;Offene Kinder- und Jugendarbeit (zentral);1050;357000;1
Bildung, Jugend, Integration und Transparenz;Bildung und Jugend;Offene Kinder- und Jugendarbeit (zentral);1050;55000;1
Bildung, Jugend, Integration und Transparenz;Bildung und Jugend;Förderung von Einrichtungen der Erwachsenenbildung und außerschulischen Bildungsangeboten;1090;2778350;1
Bildung, Jugend, Integration und Transparenz;Bildung und Jugend;WiKJorgs Gesamtförderung;1060;8104;1
Bildung, Jugend, Integration und Transparenz;Bildung und Jugend;Förderung von Einrichtungen der Erwachsenenbildung und außerschulischen Bildungsangeboten;1090;140000;1
Bildung, Jugend, Integration und Transparenz;Bildung und Jugend;Förderung von Einrichtungen der Erwachsenenbildung und außerschulischen Bildungsangeboten;1090;60000;1
Bildung, Jugend, Integration und Transparenz;Bildung und Jugend;Förderung von Einrichtungen der Erwachsenenbildung und außerschulischen Bildungsangeboten;1090;502220;1
Bildung, Jugend, Integration und Transparenz;Bildung und Jugend;Förderung von Maßnahmen, Projekten und gemeinnützigen Organisationen im LGBTIQ-Bereich;1040;195982,5;1
Bildung, Jugend, Integration und Transparenz;Bildung und Jugend;WiKJorgs Gesamtförderung;1060;15900;1
Bildung, Jugend, Integration und Transparenz;Bildung und Jugend;WiKJorgs Gesamtförderung;1010;8850;1
Bildung, Jugend, Integration und Transparenz;Bildung und Jugend;WiKJorgs Gesamtförderung;1020;58954;1
Bildung, Jugend, Integration und Transparenz;Bildung und Jugend;WiKJorgs Gesamtförderung;1100;15900;1
Bildung, Jugend, Integration und Transparenz;Bildung und Jugend;WiKJorgs Gesamtförderung;1010;49054;1
Bildung, Jugend, Integration und Transparenz;Bildung und Jugend;WiKJorgs Gesamtförderung;1020;21450;1
Bildung, Jugend, Integration und Transparenz;Bildung und Jugend;WiKJorgs Gesamtförderung;1010;49388;1
Bildung, Jugend, Integration und Transparenz;Bildung und Jugend;WiKJorgs Gesamtförderung;1050;26400;1
Bildung, Jugend, Integration und Transparenz;Bildung und Jugend;WiKJorgs Gesamtförderung;1010;43294;1
Bildung, Jugend, Integration und Transparenz;Bildung und Jugend;WiKJorgs Gesamtförderung;1080;12669;1
Bildung, Jugend, Integration und Transparenz;Bildung und Jugend;WiKJorgs Gesamtförderung;1220;13414;1
Bildung, Jugend, Integration und Transparenz;Bildung und Jugend;WiKJorgs Gesamtförderung;1150;15900;1
Bildung, Jugend, Integration und Transparenz;Bildung und Jugend;Förderung von Einrichtungen der Erwachsenenbildung und außerschulischen Bildungsangeboten;1090;751000;1
Bildung, Jugend, Integration und Transparenz;Bildung und Jugend;WiKJorgs Gesamtförderung;1030;105250;1
Bildung, Jugend, Integration und Transparenz;Bildung und Jugend;WiKJorgs Gesamtförderung;1010;12334;1
Bildung, Jugend, Integration und Transparenz;Bildung und Jugend;WiKJorgs Gesamtförderung;1010;8850;1
Bildung, Jugend, Integration und Transparenz;Bildung und Jugend;WiKJorgs Gesamtförderung;1010;12334;1
Bildung, Jugend, Integration und Transparenz;Bildung und Jugend;WiKJorgs Gesamtförderung;1060;16114;1
Bildung, Jugend, Integration und Transparenz;Bildung und Jugend;Förderung von Einrichtungen der Erwachsenenbildung und außerschulischen Bildungsangeboten;1150;2299275;1
Bildung, Jugend, Integration und Transparenz;Bildung und Jugend;Wienweite spezielle Angebote (zentral);1020;626500;1
Bildung, Jugend, Integration und Transparenz;Bildung und Jugend;Förderung von Einrichtungen der Erwachsenenbildung und außerschulischen Bildungsangeboten;1150;2096699;1
Bildung, Jugend, Integration und Transparenz;Bildung und Jugend;Förderung von Einrichtungen der Erwachsenenbildung und außerschulischen Bildungsangeboten;1080;2781966;1
Bildung, Jugend, Integration und Transparenz;Bildung und Jugend;Förderung von Einrichtungen der Erwachsenenbildung und außerschulischen Bildungsangeboten;1040;288310;1
Bildung, Jugend, Integration und Transparenz;Bildung und Jugend;Förderung von Einrichtungen der Erwachsenenbildung und außerschulischen Bildungsangeboten;1160;2553498,2;1
Bildung, Jugend, Integration und Transparenz;Bildung und Jugend;Förderung von Einrichtungen der Erwachsenenbildung und außerschulischen Bildungsangeboten;1090;288310;1
Bildung, Jugend, Integration und Transparenz;Bildung und Jugend;Förderung von Einrichtungen der Erwachsenenbildung und außerschulischen Bildungsangeboten;1030;568822,11;1
Bildung, Jugend, Integration und Transparenz;Bildung und Jugend;WiKJorgs Gesamtförderung;1020;17700;1
Bildung, Jugend, Integration und Transparenz;Bildung und Jugend;Förderung von Einrichtungen der Erwachsenenbildung und außerschulischen Bildungsangeboten;1030;198000;1
Bildung, Jugend, Integration und Transparenz;Bildung und Jugend;WiKJorgs Gesamtförderung;1080;69993;1
Bildung, Jugend, Integration und Transparenz;Bildung und Jugend;Förderung von Einrichtungen der Erwachsenenbildung und außerschulischen Bildungsangeboten;1060;25000;1
Bildung, Jugend, Integration und Transparenz;Bildung und Jugend;WiKJorgs Gesamtförderung;1010;10620;1
Bildung, Jugend, Integration und Transparenz;Bildung und Jugend;Wienweite spezielle Angebote (zentral);1010;50000;1
Bildung, Jugend, Integration und Transparenz;Bildung und Jugend;Förderungen im Musikausbildungsbereich ;1170;358050;1
Bildung, Jugend, Integration und Transparenz;Bildung und Jugend;Förderungen im Musikausbildungsbereich ;1170;85832;1
Bildung, Jugend, Integration und Transparenz;Bildung und Jugend;WiKJorgs Gesamtförderung;1080;11078;1
Bildung, Jugend, Integration und Transparenz;Bildung und Jugend;Förderung von Einrichtungen der Erwachsenenbildung und außerschulischen Bildungsangeboten;1070;280000;1
Bildung, Jugend, Integration und Transparenz;Bildung und Jugend;Förderungen im Musikausbildungsbereich ;1190;5000;1
Bildung, Jugend, Integration und Transparenz;Bildung und Jugend;Förderungen im Musikausbildungsbereich ;1090;45578;1
Bildung, Jugend, Integration und Transparenz;Bildung und Jugend;Förderungen im Musikausbildungsbereich ;1080;83000;1
Bildung, Jugend, Integration und Transparenz;Bildung und Jugend;Förderungen im Musikausbildungsbereich ;1220;5000;1
Bildung, Jugend, Integration und Transparenz;Bildung und Jugend;Förderungen im Musikausbildungsbereich ;1140;55660;1
Bildung, Jugend, Integration und Transparenz;Bildung und Jugend;Initiative Erwachsenenbildung;1090;485080;1
Bildung, Jugend, Integration und Transparenz;Bildung und Jugend;WiKJorgs Gesamtförderung;1160;35250;1
Bildung, Jugend, Integration und Transparenz;Bildung und Jugend;Förderung von Einrichtungen der Erwachsenenbildung und außerschulischen Bildungsangeboten;1090;2319300;1
Bildung, Jugend, Integration und Transparenz;Bildung und Jugend;Förderung von Einrichtungen der Erwachsenenbildung und außerschulischen Bildungsangeboten;1070;396030;1
Bildung, Jugend, Integration und Transparenz;Bildung und Jugend;Förderung von Einrichtungen der Erwachsenenbildung und außerschulischen Bildungsangeboten;1040;45000;1
Bildung, Jugend, Integration und Transparenz;Bildung und Jugend;Partizipative Kinder- und Jugendmillion;1030;50000;1
Bildung, Jugend, Integration und Transparenz;Bildung und Jugend;Partizipative Kinder- und Jugendmillion;1082;10000;1
Bildung, Jugend, Integration und Transparenz;Bildung und Jugend;Partizipative Kinder- und Jugendmillion;1020;20000;1
Bildung, Jugend, Integration und Transparenz;Bildung und Jugend;Partizipative Kinder- und Jugendmillion;1080;49987;1
Bildung, Jugend, Integration und Transparenz;Bildung und Jugend;Partizipative Kinder- und Jugendmillion;1082;35000;1
Bildung, Jugend, Integration und Transparenz;Bildung und Jugend;Partizipative Kinder- und Jugendmillion;1150;20000;1
Bildung, Jugend, Integration und Transparenz;Bildung und Jugend;Partizipative Kinder- und Jugendmillion;1010;9999;1
Bildung, Jugend, Integration und Transparenz;Integration und Diversität;Wiener Sprachgutscheine;#;85050;781
Bildung, Jugend, Integration und Transparenz;Integration und Diversität;Förderung von integrations- und diversitätsrelevanten Projekten und Organisationen;1070;16200;1
Bildung, Jugend, Integration und Transparenz;Integration und Diversität;Kleinprojektförderung von integrations- und diversitätsrelevanten Projekten und Organisationen;1150;5000;1
Bildung, Jugend, Integration und Transparenz;Integration und Diversität;Förderung von integrations- und diversitätsrelevanten Projekten und Organisationen;1040;400000;1
Bildung, Jugend, Integration und Transparenz;Integration und Diversität;Kleinprojektförderung von integrations- und diversitätsrelevanten Projekten und Organisationen;1120;4975;1
Bildung, Jugend, Integration und Transparenz;Integration und Diversität;Förderung von integrations- und diversitätsrelevanten Projekten und Organisationen;1200;80422;1
Bildung, Jugend, Integration und Transparenz;Integration und Diversität;Kleinprojektförderung von integrations- und diversitätsrelevanten Projekten und Organisationen;1030;3994;1
Bildung, Jugend, Integration und Transparenz;Integration und Diversität;Kleinprojektförderung von integrations- und diversitätsrelevanten Projekten und Organisationen;1060;2070;1
Bildung, Jugend, Integration und Transparenz;Integration und Diversität;Kleinprojektförderung von integrations- und diversitätsrelevanten Projekten und Organisationen;1100;4800;1
Bildung, Jugend, Integration und Transparenz;Integration und Diversität;Kleinprojektförderung von integrations- und diversitätsrelevanten Projekten und Organisationen;1030;5000;1
Bildung, Jugend, Integration und Transparenz;Integration und Diversität;Kleinprojektförderung von integrations- und diversitätsrelevanten Projekten und Organisationen;1100;4160;1
Bildung, Jugend, Integration und Transparenz;Integration und Diversität;Kleinprojektförderung von integrations- und diversitätsrelevanten Projekten und Organisationen;1160;4983;1
Bildung, Jugend, Integration und Transparenz;Integration und Diversität;Kleinprojektförderung von integrations- und diversitätsrelevanten Projekten und Organisationen;1060;2400;1
Bildung, Jugend, Integration und Transparenz;Integration und Diversität;Förderung von integrations- und diversitätsrelevanten Projekten und Organisationen;1020;35887;1
Bildung, Jugend, Integration und Transparenz;Integration und Diversität;Kleinprojektförderung von integrations- und diversitätsrelevanten Projekten und Organisationen;1220;4800;1
Bildung, Jugend, Integration und Transparenz;Integration und Diversität;Förderung von integrations- und diversitätsrelevanten Projekten und Organisationen;1020;50045;1
Bildung, Jugend, Integration und Transparenz;Integration und Diversität;Förderung von integrations- und diversitätsrelevanten Projekten und Organisationen;1070;228214;1
Bildung, Jugend, Integration und Transparenz;Integration und Diversität;Förderung von integrations- und diversitätsrelevanten Projekten und Organisationen;1030;105532;1
Bildung, Jugend, Integration und Transparenz;Integration und Diversität;Kleinprojektförderung von integrations- und diversitätsrelevanten Projekten und Organisationen;1150;4220;1
Bildung, Jugend, Integration und Transparenz;Integration und Diversität;Kleinprojektförderung von integrations- und diversitätsrelevanten Projekten und Organisationen;1020;4400;1
Bildung, Jugend, Integration und Transparenz;Integration und Diversität;Förderung von integrations- und diversitätsrelevanten Projekten und Organisationen;1050;128865;1
Bildung, Jugend, Integration und Transparenz;Integration und Diversität;Förderung von integrations- und diversitätsrelevanten Projekten und Organisationen;1040;41500;1
Bildung, Jugend, Integration und Transparenz;Integration und Diversität;Kleinprojektförderung von integrations- und diversitätsrelevanten Projekten und Organisationen;1040;3000;1
Bildung, Jugend, Integration und Transparenz;Integration und Diversität;Kleinprojektförderung von integrations- und diversitätsrelevanten Projekten und Organisationen;1100;1200;1
Bildung, Jugend, Integration und Transparenz;Integration und Diversität;Förderung von integrations- und diversitätsrelevanten Projekten und Organisationen;1060;122849;1
Bildung, Jugend, Integration und Transparenz;Integration und Diversität;Förderung von integrations- und diversitätsrelevanten Projekten und Organisationen;1062;73170;1
Bildung, Jugend, Integration und Transparenz;Integration und Diversität;Kleinprojektförderung von integrations- und diversitätsrelevanten Projekten und Organisationen;1090;5000;1
Bildung, Jugend, Integration und Transparenz;Integration und Diversität;Kleinprojektförderung von integrations- und diversitätsrelevanten Projekten und Organisationen;1180;3600;1
Bildung, Jugend, Integration und Transparenz;Integration und Diversität;Förderung von integrations- und diversitätsrelevanten Projekten und Organisationen;1160;145945;1
Bildung, Jugend, Integration und Transparenz;Integration und Diversität;Förderung von integrations- und diversitätsrelevanten Projekten und Organisationen;1160;193000;1
Bildung, Jugend, Integration und Transparenz;Integration und Diversität;Förderung von integrations- und diversitätsrelevanten Projekten und Organisationen;1040;2161800;1
Bildung, Jugend, Integration und Transparenz;Integration und Diversität;Förderung von integrations- und diversitätsrelevanten Projekten und Organisationen;1010;717650;1
Bildung, Jugend, Integration und Transparenz;Integration und Diversität;Initiative Erwachsenenbildung - Basisbildung;1040;173200;1
Bildung, Jugend, Integration und Transparenz;Integration und Diversität;Initiative Erwachsenenbildung - Basisbildung;1090;1083450;1
Bildung, Jugend, Integration und Transparenz;Integration und Diversität;Förderung von integrations- und diversitätsrelevanten Projekten und Organisationen;1050;89880;1
Bildung, Jugend, Integration und Transparenz;Integration und Diversität;Förderung von integrations- und diversitätsrelevanten Projekten und Organisationen;1040;1051500;1
Bildung, Jugend, Integration und Transparenz;Integration und Diversität;Förderung von integrations- und diversitätsrelevanten Projekten und Organisationen;1010;120000;1
Bildung, Jugend, Integration und Transparenz;Integration und Diversität;Kleinprojektförderung von integrations- und diversitätsrelevanten Projekten und Organisationen;1090;3750;1
Bildung, Jugend, Integration und Transparenz;Integration und Diversität;Kleinprojektförderung von integrations- und diversitätsrelevanten Projekten und Organisationen;1150;4450;1
Bildung, Jugend, Integration und Transparenz;Integration und Diversität;Kleinprojektförderung von integrations- und diversitätsrelevanten Projekten und Organisationen;1020;3750;1
Bildung, Jugend, Integration und Transparenz;Integration und Diversität;Kleinprojektförderung von integrations- und diversitätsrelevanten Projekten und Organisationen;1060;2230;1
Bildung, Jugend, Integration und Transparenz;Integration und Diversität;Kleinprojektförderung von integrations- und diversitätsrelevanten Projekten und Organisationen;1160;3750;1
Bildung, Jugend, Integration und Transparenz;Integration und Diversität;Kleinprojektförderung von integrations- und diversitätsrelevanten Projekten und Organisationen;1150;3750;1
Bildung, Jugend, Integration und Transparenz;Integration und Diversität;Kleinprojektförderung von integrations- und diversitätsrelevanten Projekten und Organisationen;1030;3730;1
Bildung, Jugend, Integration und Transparenz;Integration und Diversität;Kleinprojektförderung von integrations- und diversitätsrelevanten Projekten und Organisationen;1160;3750;1
