"GG Langtext","DST Langtext","Förderprogramm","Postleitzahl","Ausbezahlte Fördersumme","Anzahl der Förderfälle","jahr"
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderung von Maßnahmen, Projekten und gemeinnützigen Organisationen im LGBTIQ-Bereich","1020",2480,1,2023
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderung von Maßnahmen, Projekten und gemeinnützigen Organisationen im LGBTIQ-Bereich","1110",2670,1,2023
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderung von Maßnahmen, Projekten und gemeinnützigen Organisationen im LGBTIQ-Bereich","1060",2300,1,2023
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderung von Maßnahmen, Projekten und gemeinnützigen Organisationen im LGBTIQ-Bereich","1040",2580,1,2023
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderung von Maßnahmen, Projekten und gemeinnützigen Organisationen im LGBTIQ-Bereich","1060",19530,1,2023
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderung von Einrichtungen der Erwachsenenbildung und außerschulischen Bildungsangeboten","1200",360000,1,2023
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderung von Maßnahmen, Projekten und gemeinnützigen Organisationen im LGBTIQ-Bereich","1030",10860,1,2023
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderung von Maßnahmen, Projekten und gemeinnützigen Organisationen im LGBTIQ-Bereich","1140",9950,1,2023
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderung von Maßnahmen, Projekten und gemeinnützigen Organisationen im LGBTIQ-Bereich","1040",3630,1,2023
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderung von Maßnahmen, Projekten und gemeinnützigen Organisationen im LGBTIQ-Bereich","1220",2050,1,2023
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderung von Maßnahmen, Projekten und gemeinnützigen Organisationen im LGBTIQ-Bereich","1030",10610,1,2023
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderung von Maßnahmen, Projekten und gemeinnützigen Organisationen im LGBTIQ-Bereich","1100",3325,1,2023
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderung von Maßnahmen, Projekten und gemeinnützigen Organisationen im LGBTIQ-Bereich","1200",2275,1,2023
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderung von Maßnahmen, Projekten und gemeinnützigen Organisationen im LGBTIQ-Bereich","1150",1500,1,2023
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderung von Maßnahmen, Projekten und gemeinnützigen Organisationen im LGBTIQ-Bereich","1030",1000,1,2023
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderung von Maßnahmen, Projekten und gemeinnützigen Organisationen im LGBTIQ-Bereich","1080",1800,1,2023
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderung von Maßnahmen, Projekten und gemeinnützigen Organisationen im LGBTIQ-Bereich","1110",3000,1,2023
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderung von Einrichtungen der Erwachsenenbildung und außerschulischen Bildungsangeboten","1130",95880,1,2023
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderung von Wiener Bildungsgrätzln","1210",3000,1,2023
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderung von Wiener Bildungsgrätzln","1220",5000,1,2023
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderung von Wiener Bildungsgrätzln","1210",5000,1,2023
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderung von Wiener Bildungsgrätzln","1220",5000,1,2023
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderung von Wiener Bildungsgrätzln","1220",3000,1,2023
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderung von Wiener Bildungsgrätzln","1120",2900,1,2023
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderung von Wiener Bildungsgrätzln","1150",3000,1,2023
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderung von Wiener Bildungsgrätzln","1020",1050,1,2023
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderung von Wiener Bildungsgrätzln","1150",5000,1,2023
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderung von Wiener Bildungsgrätzln","1030",3000,1,2023
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderung von Wiener Bildungsgrätzln","1130",3000,1,2023
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderung von Wiener Bildungsgrätzln","1160",5000,1,2023
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderung von Wiener Bildungsgrätzln","1200",3000,1,2023
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderung von Wiener Bildungsgrätzln","1010",3000,1,2023
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderung von Wiener Bildungsgrätzln","1020",5000,1,2023
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderung von Wiener Bildungsgrätzln","1130",1872,1,2023
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderung von Wiener Bildungsgrätzln","1110",2000,1,2023
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderung von Wiener Bildungsgrätzln","1210",1336.06,1,2023
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderung von Wiener Bildungsgrätzln","1020",5000,1,2023
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderung von Wiener Bildungsgrätzln","1030",5000,1,2023
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderung von Wiener Bildungsgrätzln","1170",5000,1,2023
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderung von Wiener Bildungsgrätzln","1150",3000,1,2023
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderung von Wiener Bildungsgrätzln","1080",3000,1,2023
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderung von Wiener Bildungsgrätzln","1200",3000,1,2023
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderung von Wiener Bildungsgrätzln","1090",5000,1,2023
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderung von Wiener Bildungsgrätzln","1150",3000,1,2023
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderung von Wiener Bildungsgrätzln","1020",2000,1,2023
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderung von Wiener Bildungsgrätzln","1200",5000,1,2023
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderung von Wiener Bildungsgrätzln","1170",5000,1,2023
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderung von Wiener Bildungsgrätzln","1140",3000,1,2023
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderung von Einrichtungen der Erwachsenenbildung und außerschulischen Bildungsangeboten","1010",54000,1,2023
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderung von Einrichtungen der Erwachsenenbildung und außerschulischen Bildungsangeboten","1020",5000,1,2023
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderung von Einrichtungen der Erwachsenenbildung und außerschulischen Bildungsangeboten","1120",9000,1,2023
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Initiative Erwachsenenbildung","1150",414000,1,2023
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Initiative Erwachsenenbildung","1030",276000,1,2023
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderung von Einrichtungen der Erwachsenenbildung und außerschulischen Bildungsangeboten","1090",5e+06,1,2023
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Initiative Erwachsenenbildung","1110",276000,1,2023
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Initiative Erwachsenenbildung","1150",276000,1,2023
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Initiative Erwachsenenbildung","1170",186924,1,2023
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Initiative Erwachsenenbildung","1090",3383080,1,2023
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderung von Maßnahmen, Projekten und gemeinnützigen Organisationen im LGBTIQ-Bereich","1060",82300,1,2023
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Wienweite spezielle Angebote (zentral)","1030",266000,1,2023
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Offene Kinder- und Jugendarbeit (zentral)","1050",357000,1,2023
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Offene Kinder- und Jugendarbeit (zentral)","1050",55000,1,2023
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderung von Einrichtungen der Erwachsenenbildung und außerschulischen Bildungsangeboten","1090",2778350,1,2023
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","WiKJorgs Gesamtförderung","1060",8104,1,2023
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderung von Einrichtungen der Erwachsenenbildung und außerschulischen Bildungsangeboten","1090",140000,1,2023
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderung von Einrichtungen der Erwachsenenbildung und außerschulischen Bildungsangeboten","1090",60000,1,2023
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderung von Einrichtungen der Erwachsenenbildung und außerschulischen Bildungsangeboten","1090",502220,1,2023
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderung von Maßnahmen, Projekten und gemeinnützigen Organisationen im LGBTIQ-Bereich","1040",195982.5,1,2023
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","WiKJorgs Gesamtförderung","1060",15900,1,2023
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","WiKJorgs Gesamtförderung","1010",8850,1,2023
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","WiKJorgs Gesamtförderung","1020",58954,1,2023
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","WiKJorgs Gesamtförderung","1100",15900,1,2023
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","WiKJorgs Gesamtförderung","1010",49054,1,2023
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","WiKJorgs Gesamtförderung","1020",21450,1,2023
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","WiKJorgs Gesamtförderung","1010",49388,1,2023
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","WiKJorgs Gesamtförderung","1050",26400,1,2023
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","WiKJorgs Gesamtförderung","1010",43294,1,2023
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","WiKJorgs Gesamtförderung","1080",12669,1,2023
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","WiKJorgs Gesamtförderung","1220",13414,1,2023
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","WiKJorgs Gesamtförderung","1150",15900,1,2023
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderung von Einrichtungen der Erwachsenenbildung und außerschulischen Bildungsangeboten","1090",751000,1,2023
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","WiKJorgs Gesamtförderung","1030",105250,1,2023
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","WiKJorgs Gesamtförderung","1010",12334,1,2023
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","WiKJorgs Gesamtförderung","1010",8850,1,2023
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","WiKJorgs Gesamtförderung","1010",12334,1,2023
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","WiKJorgs Gesamtförderung","1060",16114,1,2023
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderung von Einrichtungen der Erwachsenenbildung und außerschulischen Bildungsangeboten","1150",2299275,1,2023
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Wienweite spezielle Angebote (zentral)","1020",626500,1,2023
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderung von Einrichtungen der Erwachsenenbildung und außerschulischen Bildungsangeboten","1150",2096699,1,2023
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderung von Einrichtungen der Erwachsenenbildung und außerschulischen Bildungsangeboten","1080",2781966,1,2023
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderung von Einrichtungen der Erwachsenenbildung und außerschulischen Bildungsangeboten","1040",288310,1,2023
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderung von Einrichtungen der Erwachsenenbildung und außerschulischen Bildungsangeboten","1160",2553498.2,1,2023
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderung von Einrichtungen der Erwachsenenbildung und außerschulischen Bildungsangeboten","1090",288310,1,2023
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderung von Einrichtungen der Erwachsenenbildung und außerschulischen Bildungsangeboten","1030",568822.11,1,2023
